x,y,yerr
708.0317332797741,7.285316072576024e-06,6.080298176673262e-08
707.788712592889,7.5406868158900705e-06,5.339182601751401e-08
707.5456919060039,7.78016288414556e-06,5.405281941629808e-08
707.3026712191188,7.953328075508343e-06,4.4272501862632235e-08
707.0596505322355,8.128569887098223e-06,3.692291736540097e-08
706.8166298453505,8.21402008336876e-06,2.7921385689146865e-08
706.5736091584653,8.266574783432027e-06,2.245750978466469e-08
706.3305884715802,8.263454365063608e-06,2.3436273159794866e-08
706.0875677846951,8.16684688495933e-06,2.5881690111977074e-08
705.8445470978099,8.02101088866859e-06,4.172066378822978e-08
705.6015264109249,7.910744495947512e-06,5.249814539777133e-08
705.3585057240398,7.498831198242451e-06,1.9265647125456807e-07
705.1154850371547,7.4210773848236685e-06,7.220224122961719e-08
704.8724643502713,7.12813113189071e-06,6.258476627444e-08
704.6294436633863,6.795236670166286e-06,7.445509296840019e-08
704.3864229765012,6.420101411617754e-06,8.521345612804298e-08
704.1434022896161,6.0484128485449645e-06,8.617023156387486e-08
703.9003816027309,5.732427358281486e-06,8.922332385101117e-08
703.6573609158459,5.290932013188815e-06,9.142705972110864e-08
703.4143402289608,4.933275930263682e-06,8.691420782174288e-08
703.1713195420756,4.561591406512791e-06,9.392956945271907e-08
702.9282988551905,4.210278775506084e-06,1.0060768392374344e-07
702.6852781683054,3.864679062687935e-06,9.261091837564287e-08
702.4422574814222,3.5191482990519882e-06,8.625995523450699e-08
702.199236794537,3.2841847954488913e-06,9.94188975610145e-08
701.9562161076519,2.975813720192733e-06,8.591938901144165e-08
701.7131954207669,2.7037128763567493e-06,6.803762657492802e-08
701.4701747338818,2.4430993787481813e-06,6.527084291340417e-08
701.2271540469966,2.212483848374219e-06,4.4019200269355514e-08
700.9841333601115,1.987277534313245e-06,4.969111926387252e-08
700.7411126732264,1.8170963986603342e-06,5.001153553276372e-08
700.4980919863413,1.6417062769054151e-06,3.9220259557976426e-08
700.2550712994562,1.498440474735836e-06,4.290095251604329e-08
700.0120506125729,1.3609234049169675e-06,4.280027244452712e-08
699.7690299256878,1.225839355560279e-06,2.7752616703785393e-08
699.5260092388027,1.1674472255868976e-06,2.8841001225901404e-08
699.2829885519176,1.0593640701776451e-06,2.44635403072177e-08
699.0399678650325,9.945803592367825e-07,1.7708582551561997e-08
698.7969471781473,9.017342584305671e-07,2.0405874479337924e-08
698.5539264912622,8.750299187672879e-07,1.6608221065687574e-08
698.3109058043772,7.873452107917664e-07,1.3503959493684441e-08
698.0678851174921,8.046075423767562e-07,1.2728860390960457e-08
697.8248644306087,7.375882530109988e-07,1.4353411012807212e-08
697.5818437437237,7.229440948622471e-07,1.1390786269690829e-08
697.3388230568386,7.379887212332189e-07,1.8603486906310395e-08
697.0958023699535,7.2299907147118e-07,6.438175531559559e-09
696.8527816830683,8.196012281488675e-07,2.922320111966843e-08
696.6097609961832,1.2592500479872592e-06,1.5940236620548478e-07
696.3667403092982,2.48794791891866e-06,3.7637447375792535e-07
696.123719622413,4.3543179208431685e-06,5.660610053893329e-07
695.8806989355279,6.667549703240599e-06,6.997152346345943e-07
695.6376782486428,9.283129095779321e-06,6.942284114708503e-07
695.3946575617596,1.2011979724731167e-05,6.975541513800702e-07
695.1516368748744,1.4707429261507794e-05,8.235464165543673e-07
694.9086161879893,1.79319474036526e-05,9.595986880018476e-07
694.6655955011042,2.1539352470414165e-05,9.424323694573172e-07
694.4225748142192,2.515388512427257e-05,8.709711423167302e-07
694.179554127334,2.8757892327280042e-05,7.56927242271933e-07
693.9365334404489,3.216873200209092e-05,5.226083163475937e-07
693.6935127535638,3.469980958948672e-05,3.510869494299826e-07
693.4504920666786,3.60873466619291e-05,1.7638262108953297e-07
693.2074713797954,3.634850723442693e-05,8.947613199534006e-08
692.9644506929103,3.5562638546438066e-05,5.633630206968448e-08
692.7214300060252,3.4168100522415494e-05,1.6770999226267985e-07
692.47840931914,3.1986796636280856e-05,3.039184001646484e-07
692.235388632255,2.9316239675970102e-05,4.456465324609927e-07
691.9923679453699,2.6254421081281483e-05,5.700207455282831e-07
691.7493472584848,2.285357377660979e-05,7.266064632696534e-07
691.5063265715996,1.9274107099360154e-05,9.179565223637891e-07
691.2633058847146,1.5621063636011643e-05,9.885911236871794e-07
691.0202851978295,1.2411744691356806e-05,9.811804942333718e-07
690.7772645109461,9.780644263468868e-06,9.01977138967682e-07
690.534243824061,7.543321192711283e-06,7.168281724971789e-07
690.291223137176,5.605141323936309e-06,4.8625250514269e-07
690.0482024502909,3.9985099828781385e-06,3.17520454596177e-07
689.8051817634057,2.6229562043406704e-06,2.3499688111383804e-07
689.5621610765206,1.6508654034678124e-06,1.622899778189517e-07
689.3191403896355,1.022373802501644e-06,1.0510748047428119e-07
689.0761197027505,6.035420589560345e-07,7.603117848221805e-08
688.8330990158653,3.981769687799153e-07,3.661672888415137e-08
688.5900783289802,3.2171326283495607e-07,2.3782179267360204e-08
688.347057642097,2.274769340610206e-07,2.227961099093346e-08
688.1040369552118,2.137121966269078e-07,1.3432424472830272e-08
687.8610162683267,1.9014224790531673e-07,2.4156630960285842e-08
687.6179955814416,1.8140798412599337e-07,9.588115512289391e-09
687.3749748945565,1.7895062257719703e-07,1.7466515465275113e-08
687.1319542076714,1.672755871056373e-07,1.2895119259700201e-08
686.8889335207863,1.4603203179550036e-07,1.3302118922636628e-08
686.6459128339012,1.582115048507794e-07,1.6170444814148598e-08
686.402892147016,1.436339973226498e-07,1.8089597086088226e-08
686.1598714601328,1.4939737543002776e-07,1.171349318440377e-08
685.9168507732477,1.26188087618521e-07,1.178018378522931e-08
685.6738300863626,1.4350246288208978e-07,1.0200847747761454e-08
